compressionCurves X,compressionCurves Y
9.6,18.63332026368033
9.699999999999999,18.63430640938471
9.800000000000001,18.63526774387956
9.9,18.63620205625182
10,18.63711193010603
10.1,18.63800210844855
10.2,18.63887868623811
10.3,18.63974898174735
10.4,18.64061981167504
10.5,18.64149447571189
10.6,18.64237108599178
10.7,18.64324442316011
10.8,18.64410902035367
10.9,18.64496092855924
11,18.64579816449837
11.1,18.64662057803108
11.2,18.6474296970281
11.3,18.64822853897004
11.4,18.64909200210924
11.5,18.64988193303336
11.6,18.65066592485752
11.7,18.65145043787754
11.8,18.65223949121179
11.9,18.65303501060873
12,18.65383567495339
12.1,18.65463923784982
12.2,18.65544415771626
12.3,18.65625006166817
12.4,18.65705699375702
12.5,18.65786381530427
12.6,18.65866926312296
12.7,18.65947345239127
12.8,18.66027724263639
12.9,18.6610818833422
13,18.66188804339539
13.1,18.66269555506864
13.2,18.66347673565694
13.3,18.66429565617231
13.4,18.6651190097911
13.5,18.6659433885184
13.6,18.66684175011083
13.7,18.66765364508887
13.8,18.66846637038538
13.9,18.66928483723676
14,18.67011110561787
14.1,18.67094521663117
14.2,18.67176284131665
14.3,18.67262847776842
14.4,18.67350375546113
14.5,18.67439387462441
14.6,18.67530059453786
14.7,18.67622005708429
14.8,18.6771412643263
14.9,18.67805458500912
15,18.67899185462136
15.1,18.67994681072354
15.2,18.68091214505776
15.3,18.68188082872635
15.4,18.6828381523989
15.5,18.6840816363837
15.6,18.68508895046489
15.7,18.68611902256685
15.8,18.68717567083283
15.9,18.68826387065629
16,18.68938970981721
16.1,18.69054255284149
16.2,18.69172199431733
16.3,18.69292744663877
16.4,18.69415125652233
16.5,18.69539634263915
16.6,18.69666383556125
16.7,18.69796041362591
16.8,18.69928291604703
16.9,18.70068731674788
17,18.70210667540045
17.1,18.70351311250231
17.2,18.70490882031273
17.3,18.70629806200013
17.4,18.7077162664132
17.5,18.70922708015256
17.6,18.71081505795176
17.7,18.71218708202958
17.8,18.71378467091795
17.9,18.71534427189513
18,18.71691576861564
18.1,18.71856990259046
18.2,18.72030178384766
18.3,18.72202859374601
18.4,18.72370742004243
18.5,18.72531846303401
18.6,18.72685599978588
18.7,18.7283844786862
18.8,18.72986979346305
18.9,18.73121060019761
19,18.73232088638944
19.1,18.73331516279282
19.2,18.73446769244044
19.3,18.73540340862723
19.4,18.73678768671522
19.5,18.73787832100903
19.6,18.73895750646892
19.7,18.73997747690433
19.8,18.74096235850341
19.9,18.74195544441407
20,18.74298337699744
20.1,18.7441686585092
20.2,18.74527477273144
20.3,18.74661929765428
20.4,18.7477694267735
20.5,18.74881601732791
20.6,18.74974465608222
20.7,18.75080721692242
20.8,18.75195617086744
20.9,18.75319335718292
21,18.75432977954739
21.1,18.75543710928152
21.2,18.75631734568962
21.3,18.75738502939168
21.4,18.75853692000894
21.5,18.75959973900869
21.6,18.76075553237437
21.7,18.761906487515
21.8,18.76268984678219
21.9,18.763551027152
22,18.7644802815698
22.1,18.76544349533594
22.2,18.76632490935051
22.3,18.76727249572434
22.4,18.76835230356077
22.5,18.76916611029651
22.6,18.76993615610735
22.7,18.77072657935356
22.8,18.77162626941059
22.9,18.77240432020195
23,18.77313824640839
23.1,18.77381244270362
23.2,18.77448768184333
23.3,18.77522107120348
23.4,18.77583220019697
23.5,18.77661402256133
23.6,18.77737667844481
23.7,18.77802015383169
23.8,18.77863984231158
23.9,18.77920384509846
24,18.77975717538271
24.1,18.78032093650132
24.2,18.7809609411013
24.3,18.78139300696887
24.4,18.78197902446971
24.5,18.78236288099158
24.6,18.78299851927539
24.7,18.78351272412748
24.8,18.78385403728083
24.9,18.78450004250634
25,18.78480793287633
25.1,18.78535867008167
25.2,18.78582724699201
25.3,18.78630472833364
25.4,18.78661567633222
25.5,18.78688420524151
25.6,18.78751796660566
25.7,18.78769288016019
25.8,18.78810983701454
25.9,18.78845007465333
26,18.7888774480051
26.1,18.78923161172202
26.2,18.78955875142513
26.3,18.78995275762853
26.4,18.79028547556423
26.5,18.79059960089282
26.6,18.79092169759733
26.7,18.79120308690202
26.8,18.7915700335105
26.9,18.79186336931429
27,18.79213778825246
27.1,18.79240016706999
27.2,18.79265233865893
27.3,18.79290979739761
27.4,18.79314105910216
27.5,18.79336292811814
27.6,18.79358107281652
27.7,18.7937956264523
27.8,18.79401083818613
27.9,18.79422343193806
28,18.79439738823855
28.1,18.79458785002858
28.2,18.7947774142249
28.3,18.79497963166984
28.4,18.79518590701919
