/V0/PLUS (Vgs1=0.9) X,/V0/PLUS (Vgs1=0.9) Y,/V0/PLUS (Vgs1=1.8) X,/V0/PLUS (Vgs1=1.8) Y,/V0/PLUS (Vgs1=2.7) X,/V0/PLUS (Vgs1=2.7) Y
2.357999999999851,-0.05539007637542179,2.357999999999851,-0.1271429188723163,  ,  
2.358999999999851,-0.0553917391676709,2.358999999999851,-0.1271483232863876,  ,  
2.359999999999851,-0.05539339839519196,2.359999999999851,-0.1271537222755319,  ,  
2.360999999999851,-0.05539505408264532,2.360999999999851,-0.1271591158570325,  ,  
2.361999999999851,-0.05539670625448297,2.361999999999851,-0.1271645040480933,  ,  
2.362999999999851,-0.05539835493495152,2.362999999999851,-0.1271698868658393,  ,  
2.363999999999851,-0.05540000014808985,2.363999999999851,-0.1271752643273159,  ,  
2.364999999999851,-0.0554016419177348,2.364999999999851,-0.1271806364494918,  ,  
2.36599999999985,-0.05540328026752131,2.36599999999985,-0.1271860032492559,  ,  
2.36699999999985,-0.05540491522088429,2.36699999999985,-0.1271913647434214,  ,  
2.36799999999985,-0.05540654680106107,2.36799999999985,-0.1271967209487249,  ,  
2.36899999999985,-0.05540817503109254,2.36899999999985,-0.1272020718818243,  ,  
2.36999999999985,-0.05540979993382515,2.36999999999985,-0.1272074175593035,  ,  
2.37099999999985,-0.0554114215319122,2.37099999999985,-0.1272127579976704,  ,  
2.37199999999985,-0.05541303984781629,2.37199999999985,-0.127218093213358,  ,  
2.37299999999985,-0.05541465490381133,2.37299999999985,-0.1272234232227222,  ,  
2.37399999999985,-0.05541626672198207,2.37399999999985,-0.1272287480420474,  ,  
2.374999999999849,-0.05541787532422907,2.374999999999849,-0.1272340676875424,  ,  
2.375999999999849,-0.05541948073226779,2.375999999999849,-0.1272393821753426,  ,  
2.376999999999849,-0.05542108296763226,2.376999999999849,-0.1272446915215109,  ,  
2.377999999999849,-0.05542268205167428,2.377999999999849,-0.1272499957420374,  ,  
